year,value,subseries_id,source_id,units,month
1854,-2.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1854,-3.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1855,-3.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1855,-2.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1855,-0.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1855,1.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1855,2.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1855,3.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1855,4.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1855,3.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1855,3.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1855,5.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1855,2.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1855,3.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1856,4.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1856,5.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1856,6.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1856,9.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1856,10.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1856,9.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1856,9.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1856,9.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1856,9.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1856,8.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1856,5.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1856,5.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
